prompt,response
[NSCI] PO 4102432416 need re-approve after changing PO delivery date,
GE TFA cannot see the designated WBS in Pmx time entry tool,"Actual Issue: GE TFA cannot see the designated WBS in Pmx time entry tool
Root Cause:  WBS element not meant for the user as per the functionality
Resolution or Suggested steps: Admin team assigned correct WBS element and that worked for the user.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 "
[NSCI] - Powermax error message when creating new PO,"Issue/Request: PR No. : 122058378 unable to create PO
Solution: Suggested user the BOM is mandatory for subcontracting process

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Creation]"
Lack of TandC file attached to PO 4102519415,
[NSCI]PMX fiori PY1,"Actual Issue: Not able to see the Activity types in Timesheet application.
Root Cause:  User browser language was French.
Resolution or Suggested steps: Had a call with user and updated the Browser language to English and user was able to see the values.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 "
[NSCI] can't save when i wanna issue a new PO according to new PR number - 122076665,"Actual Issue: can't save when i wanna issue a new PO according to new PR number - 122076665
I drafted a PO but below message pop out when I clicked the 'Save' button., 
'The SAP application had to terminate due to an ABAP runtime error' message pop out(see attached pic)

Resolution or Suggested steps: The dump error was due to the price and qty, which was exceeding the limits. Later user corrected those details and it was working fine.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] - SOP for how to perform good receiving in Powermax ,"Issue/Request: GR issue
Solution: Service entry sheets:, 1001718358(PO:4102441395-60), 1001718357(PO: 4102441395-70) not accepted yet, hence GR hasn't created. So suggested user to post GR by accepting concerns SES by ML81N t.code

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Goods receipt]
[Category2: Creation]
"
[YEC-2023]:1920 Comm't Report 03.15.2021DUNS is not working,"Issue:[YEC-2023]:1920 Comm't Report 03.15.2021DUNS is not working
Root Cause: User needed the access and and report loaction
Solution: Required information provided to the User and she is able to access the report and accordingly as per the USer confirmation closing the Task.

"
Pratiksinh Sisodia – 212523410 as approver at H1 level Release strategy,"Issue/Request: Pratiksinh Sisodia – 212523410 as approver at H1 level Release strategy
Solution: Provided the required information as user requested.

Closing the ticket as user confirmed, attached closure confirmation
"
NSCI - Change PO 4102451704 Owner,"""Issue/Request: PO requisitioner change request

Root Cause: NA, 

Solution/Action: Guided user how buyer can change the requisitioner in PO 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
ME2N TABEL IN EXCEL SHEET,"Issue/Request: New job creation for ME2N report
Solution: Tested in QE1 and raised ticket for basis L2 for PE1.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI] PO Create Issue,"Actual Issue: PO Create Issue
Urgent!!!

Hi Team,
While creating PO "" Material of requisition 12261530 item 00010 alr. Ordered in full"" error appears.
However the Preq status , there is no PO # shown.

Please support to clear the issue and release the PO.

Resolution or Suggested steps: The RFQ being used while the po creation was duplicate and already used elsewhere. We suggested user to go for another RFQ/PR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] Invoice amount was entered incorrectly on PO line,"Issue/Request: [NSCI] Invoice amount was entered incorrectly on PO line.PO 4102104914 line 10, material document 5112484525 was entered as a quantity of 1,408.57 and it should be 193.75.  This is for invoice 5503374363.  Please correct ASAP as this is blocking other invoices for payment.

Root cause: User requirement to correct the invoice value
 
Solution: Suggested user to reach out to AP/invoice team to get the wrong invoice reversed and submit with correct value.user was able to correct the invoice value.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
" [NSCI] When warehouse personnel use the 411K movement type to add amounts to materials and transfer locations in MIGO, the operation cannot be completed","Actual Issue: When warehouse personnel use the 411K movement type to add amounts to materials and transfer locations in MIGO, the operation cannot be completed
Core material number 451W5371P001
, execute the consignment mode. After the supplier delivers the goods, the warehouse will first put it into the consignment location (0003) with zero value. When the workshop picks up the materials, the data entry personnel need to use 411K to add the amount in MIGO and simultaneously transfer the materials from the 0003 warehouse. to the 0001 warehouse, but a recent operation was abnormal and the 411K operation could not be performed. As a result, PMX was unable to complete the location transfer and write-off after the physical goods were shipped. We need your support.

Resolution or Suggested steps: The issue was related to price because price was not maintained for consignment combination in info record. We have asked the user to maintain price accordingly and proceed with stock transfer.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
OBD 0080569552  not able to be PGI'd,
[NSCI] - Remove ZITR 6% from PO,"Issue/Request: Remove ZITR 6% from PO
Solution: User has confirmed to close the request since PO is old and no longer require.

Closing the ticket as user confirmed, attached closure confirmation
"
NSCI - Transmit time issue,"""Issue/Request: Transit time in PO line item issue

Root Cause: Picked from custom table 

Solution/Action: Analysis shared, user confirmed to close this request

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
NSCI# I can't book the PGI1 on this OBD: 80771037,"Request:  I can't book the PGI1 on this OBD: 80771037
Resolution or Suggested steps:  I have checked further and material HTCZ454385R2603 has been blocked completely in plant 9S81 
informed user to reach out to local Master data team
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
[NSCI]could not get PO print generated for PO#4102392221,"Issue/Request: [NSCI]could not get PO print generated for PO#4102392221-could not get PO print generated for PO#4102392221

Root cause: PO pdf sent to Buyer through email .confirmed with SOST .
 
Solution: provided user with PDF copy and SOST information.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
Unable to close project due to WIP and PO Commitment,"Issue: User is unable to close the project due to WIP and  commitments are against the projects.

Root cause : We checked the WIP and commitments against project and guided the required steps clear commitments.

Closure Confirmation: 
[Yesterday 9:20 PM] Apparao, Bommisetti (GE Vernova, consultant)
HI Parthiban
[Yesterday 9:21 PM] Apparao, Bommisetti (GE Vernova, consultant)
Ping regarding GERITM44631649 -Unable to close project due to WIP and PO Commitment
[Yesterday 9:21 PM] Apparao, Bommisetti (GE Vernova, consultant)
Please let us know your available time schedule quick call
[11:30 AM] Parthiban, Logeshwari (GE Vernova, consultant)
Hi
[12:16 PM] Apparao, Bommisetti (GE Vernova, consultant)
Hi Prathiban,                                                                                                                                                                                        
 On all WBS with RA key set status NOPR.
Run KKA2 for WBS with RA key with proper RA version, you can refer to report ZPS_RA_CHECK
Run CJA2
Run settlement CJ88
[12:17 PM] Parthiban, Logeshwari (GE Vernova, consultant)
i did all the steps above , but still have an issue
[12:19 PM] Apparao, Bommisetti (GE Vernova, consultant)
Can we connect?
[12:19 PM] Parthiban, Logeshwari (GE Vernova, consultant)
If possible to connect after 2 hour from now
[12:20 PM] Apparao, Bommisetti (GE Vernova, consultant)
Ok fine I will ping after 2 hours, thankyou!
 like 1
[2:52 PM] Parthiban, Logeshwari (GE Vernova, consultant)
I ensure to close the ticket
[2:52 PM] Parthiban, Logeshwari (GE Vernova, consultant)
Thank you
[2:53 PM] Apparao, Bommisetti (GE Vernova, consultant)
You're welcome
[2:53 PM] Apparao, Bommisetti (GE Vernova, consultant)
Thanks for the confirmation!"
Cannot book PGI 1 and 2 for OBD 80751241,"Request:  Cannot book PGI 1 and 2 for OBD 80751241
Resolution or Suggested steps:  we are working on same issue with another ticket GERITM44129767 and hence closing this ticket GERITM44129715 to avoid duplication. and further communication will be sent based on the ticket GERITM44129767 
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
{NSCI} - I need to reverse the Inbound Delivery # 180630688,"Issue/Request:  reverse the Inbound Delivery # 180630688
Solution: Connected and explained user to reverse the IBD, so that GR has been cancelled.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Goods receipt]
[Category2: Cancellation]"
SR-S&L-044 - PO issue,"""Issue/Request: Request raised to close PO in Pmax

Root Cause: As requested by business 

Solution/Action: PO closed in system as requested by user

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] Blocked  approval level for PR28884084,"Actual Issue: Blocked  approval level for PR28884084
Could you check why the  "" release strategy"" of PR28884084 of Pos. 30 _ pos.140 is blocked ? thanks

Resolution or Suggested steps: We guided the user on the manual approval process in system.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] Change the release strategy approver,"Actual Issue: Change the release strategy approver
HI Team ,
For PO#4102026780 ,the G2 approver  can not approve in ME29N due to access issue ,but the PO is urgently need to be approved, is there any possible we can manual change G2 approver to another ?
Thanks a lot !

Resolution or Suggested steps: We have provided the list of alternate approver who can approve with G2 release code. 
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
NSCI - Reject SES,"""Issue/Request: Request raised to reject SES

Root Cause: As requested by business

Solution/Action: SES rejected successfully using FFID

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI]-P9S8 - CoCo change for specific team - Setup requirement in PMX_ Birr factory ,
[NSCI] - impossible to print the Po 4102485926,"Issue/Request: impossible to print the Po 4102485926
Solution: In PO: 4102485926 price has updated on 22nd of February 2024, hence new open version created.
So, once complete this open version, new release strategy will be trigger based on price updated.
Once PO done with all 4 levels of approvals, PO copy will be received.


Closing the ticket as user confirmed, attached closure confirmation
"
"[NSCI] - Need PMx Finance Approvers/release strategy for CoCo: PPL1, P4D9, PGU2","Issue/Request: Release objects info
Solution: Provided the required information.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI]-4102442071 GR amount issue,"Issue/Request: [NSCI]-4102442071 GR amount issue
GR amount should be 1147USD, but GR amount turned to 1215.82USD every time, i guess it caused by 6% ZITR, kindly pls check and fix it asap, thanks.

Root cause:PO 4102442071 belongs to Global Next sabrix integrated company code(CoCo- P4D9)  -Hence It is subjected to IDT process .Here Non deductible Tax is flagged for the IDT process. In case of a Non-Deductible tax, the Tax amount will be loaded to Material Inventory. So it will be reflected in GR posting. 
 
Solution: RCA provided to user. System behaving as designed.User confirmed closure.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI]-PO 4200271545 was created and not printed.,"Issue/Request: [NSCI]-PO 4200271545 was created and not printed.

Root cause: No NEU output was not maintained
 
Solution: Suggested user to manually trigger NEU output. User received PO through mail.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI]-PO Creation Errorr,
[NSCI]-PO release issue,"Issue/Request: [NSCI]-PO release issue-The PO 4200271128 has issue with one part 121-9463P0001  (is not mentioned in customized table ZFI_EXPENSEACC) and can't be released.

Root cause: Error did not reoccur. user was able to save the PO.
 
Solution: When connected with user to check on the issue user was able to save the PO without error.
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI] - Remove ZITR 6% from PO 4102493882 ,
NSCI - Can you share the details of the person that posted the GR #5008796769 for the PO #4900362091.  - GEINC14610109,"""Issue/Request: Need information about user who posted the GR

Root Cause: NA

Solution/Action: Analysis shared, GR posted through Batch job

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
NSCI - PO 4102366202 / invoice J032477,"""Issue/Request: Invoice Idoc failure issue

Root Cause: Line item is wrong in IDoc segment

Solution/Action: Analysis shared , Idoc status moved to 68 , requested to resubmit the invoice 

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - PO extract from Repairs SAP ,
"4200267163 has 3 line items, I only need line item 10 do GR. But when I store, all of it do and cannot delete left 2.","Actual Issue: Inbound delivery unable to cancel
 Root Cause: Need to cancel the MIGO document to cancel/delete the inbound delivery documents.
 Resolution or Suggested steps: Inbound delivery successfully updated by user, hence we are closing this ticket.

"
NSCI - Advance Payment Handling with Cora/Ariba,"Problem Statement : NSCI - Advance Payment Handling with Cora/Ariba
RCA : checked with Ariba, Cora and apex team, provided analysis and got closure confirmation
Solution : checked with Ariba, Cora and apex team, provided analysis and got closure confirmation
  
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816"
MIGO vs MIRO,"Issue/Request: MIGO & MIRO info
Solution: User confirmed to close the ticket.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI] - PO# 4200254772_Unable perform Inbound Delivery,"Issue/Request: PO# 4200254772_Unable perform Inbound Delivery
Solution: Suggested user to proceed since its warning message only and also suggested user update the delivery date at acknowledgement information according to line item date.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Inbound delivery]
[Category2: Creation]"
[NSCI] PO 4102325239 po status process stock by leaving coworker.,"Actual Issue: PO 4102325239 po status process stock by leaving coworker.
PO 4102325239 cannot edit or create GR and shows error information ""User  605043190  already processing Purchase order.""
Cause Betty Wu (60504319) have already left the company, need help to cancel or return the process.
Thank you.

Resolution or Suggested steps: No issues found, the lock was removed and user was able to edit the PO and post GR.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
SR-S&L-044 - PO close,"""Issue/Request: Request raised to close the PO

Root Cause: As requested by user

Solution/Action: PO has been closed successfully using FFID

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - open balance monitoring for framework PO - 1100,
[NSCI]-PO for P4D9 SC-State  tax rule of 6% configured,"Issue/Request: [NSCI]-PO for P4D9 SC-State  tax rule of 6% configured-We are encountering issue with PO under P4D9
Issue: When creating GRN for PO under P4D9, the system is automatically adding 6% state sales/use tax to the delivered value.    The delivered value on the GRN should match the ordered value on the PO. Adding the automatic 6% tax means the delivered value is greater than what was ordered.
This is happening because the PO is embedded in SC-State, which has a sales/use tax rule of 6% configured.

Root cause: Company code P4D9 is subjected to Sabrix tax call.hence the Tax in IDT call will be non deductible.
 
Solution: Sabrix tax team confirmed its a correct system behavior. Provided required information to user. user agreed to close the call
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
"[NSCI] How to set up "" Technical Name* in my Powermax while  creating the POR","Actual Issue: How to set up "" Technical Name* in my Powermax while  creating the POR

Resolution or Suggested steps: We have helped user to change the technical settings in the PR and PO screen.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
NSCI - unable to approve SES,"""Issue/Request: SES approval issue

Root Cause: User does not have access to approve 

Solution/Action: Business decided to accept it later , some issue with supplier , no action pending from our side

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[SR-FIN-064] Price Tolerance P4C1,"Problem Statement : [SR-FIN-064] Price Tolerance P4C1
RCA : past 6 years there is no change for coco P4C1, hence we asked user to raise RFC/RFC Lite for further assistance on this request.
Solution : past 6 years there is no change for coco P4C1, hence we asked user to raise RFC/RFC Lite for further assistance on this request.
  
CC: Received closure confirmation from user
Please share your feedback on ticket closure using the link-  https://app.sc.ge.com/surveys/create/569816"
PMx Timesheet cancellation for Dec 21 and 22,"Actual Issue: Timesheet cancellation for Dec 21 and 22
Root Cause:  Wrong data entered
Resolution or Suggested steps: User managed to delete the wrong entries by himself.

Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 "
[NSCI] Need update of Planned Delivery Time for the list of material,"Actual Issue: Need update of Planned Delivery Time for the list of material
Hi,

Need help to update Planned Delivery Time in PE1 PMx for the attached list of materials.

Regards,
Ben Tham

Resolution or Suggested steps: We have asked the team to update the data using transaction ZMM_UPDATE_MAT_VIEW.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] MIGO - GR cannot posted in PACV01,"Actual Issue: MIGO - GR cannot posted in PACV01
Hi Team,
We cannot post GR's in our coco unit PACV01. When I try to post I receive an error message ""Partner Profit Center PACV34 is locked for current date"". 
Our new unit is PACV01 and PACV34 not exist and was migrated. Last GR I posted in 10.01.2024 and it worked well. 
Please your urgent support we must release urgent payments.
Thanks,

Resolution or Suggested steps: The profit center was locked by Alenjandra flores, suggested user to get this unlocked and post the GRs.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
SR-S&L-081 # 4102187569-10 and 4102171809-10,"Request:  105 will not post from release gr stock using material document number due to user status NOCB is active (nwa 4458357 1279) error 
Resolution or Suggested steps:  I have checked below PO's and material document with movement type 105 has been already posted.
 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
"
NSCI - ZRC1 condition type update,"""Issue/Request: Request raised to update ZRC1 condition type rate

Root Cause: As requested by business 

Solution/Action: ZRC1 condition record updated in PE1 system

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - Need the release strategy(approval flow) for attached list of PO's,"Issue/Request: Release strategy info
Solution: Provided the required information on release stragegy as user requested.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI]-Error while posting GR for PO PO4102468713,
I can't open the BOX,"Actual Issue: I can't open the BOX
Root Cause:  No issue as of now
Resolution or Suggested steps: User solved by herself.

Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link -  
https://app.sc.ge.com/surveys/create/569816 
"
 [NSCI] - In PMx the VAT number appearing in the PO PDF,"Issue/Request: VAT number/information should not shown on PO copy
Solution: VAT% value is fetching from the tax code(DB) which has maintained in PO: 4102484169. So suggested user connect with buyer to get removed this tax code from PO, then it will not shown in PO copy.

Closing the ticket as user confirmed, attached closure confirmation

[Category: User training]
[Category1: Purchase order]
[Category2: Output]
"
please set PL language,Rasised for GEINC14737339.
NSCI - Rejected Service Entry Sheet,"""Issue/Request: Invoice not posted due to SES issue

Root Cause: NA

Solution/Action: Invoice already posted as confirmed by user . no action required from our end

CC: User confirmed for closure, hence incident marked as Resolved. Confirmation email attached herewith.
------------------------
Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816
------------------------""
"
[NSCI] - Purchase requisition report,"Issue/Request: PR report
Solution: Suggested user to get PR report by ME2N standard transaction code.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI] correct a PO / PO 1000260573 - check desc and attachment,"Actual Issue: correct a PO / PO 1000260573 - check desc and attachment
Refer to PO 1000260573, supplier name: A-Tech Marketing Pte Ltd.
The GST reflected in PO is wrong. It should be JPY 6,157,440 (JPY 76,968,000 x 8%)

check the attached email 

Resolution or Suggested steps: Changes at the program/smartform level is required and project team is already working on it. Jira story REP-506 is raised.
 
Closing the ticket as no further follow-up is required.

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] Need to extend Vendor ID  : 10791417 to Purch org AU70 company code PSA5,"Actual Issue: Need to extend Vendor ID  : 10791417 to Purch org AU70 company code PSA5
Vendor ID : 10791417 blocked for Purch Org AU70

Resolution or Suggested steps: Vendor master changes were required, so we have asked the user to check with SCX team.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI]-Get an error for unplanned services,"Issue/Request: [NSCI]-Get an error for unplanned services
For PO 4102410572 and 4102430546, I get an error ""No overall limit of -price- for unplanned services exists"" while doing Service Line GR.

Root cause: No tolerance limit value maintained in PO hence the error.
 
Solution: Suggested user to update PO with Value in LImit field to add unplanned services .
 
Closure Confirmation: User confirmed for closure, hence incident marked as Resolved."
[NSCI] PO 4102373324 pending at approval,"Actual Issue: PO 4102373324 pending at approval
Hi Team, PO 4102373324 pending at approval but the approval cannot be found, and the PO cannot be released now. it's very urgent and appreciate your prompt support.

Resolution or Suggested steps: We have provided the user with list of people who can approve the second level.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
NSCI# PGI2 error at OBD: 80774098 80768234 80768235 80768236 80773712 80768233 80772542 80768231 80777179 80777182 80778131,"Request:  Upon trying to book  PGI2 for obd-s:80774098 80768234 80768235 80768236 80773712 80768233 80772542 80768231 80777179 80777182 80778131
Resolution or Suggested steps:  Please can you get in touch with Local order team(Szabina/Noemi) to update these sales orders and then try to book PGI2 for mentioned OBDs.

80774098 80768234 80768235 80768236 80773712 80768233 80772542 80768231 80777179 80777182 80778131


 
Closing the ticket as confirmed by user 

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] - Issue in PMX ZPS_PO report and KEOPS for currency conversion. ,"Issue/Request: Issue in PMX ZPS_PO report and KEOPS for currency conversion. 
Solution: Connected and explained to user about concerns regarding report.

Closing the ticket as user confirmed, attached closure confirmation
"
[NSCI] Can't download the Pdf copy of PO ,"Actual Issue: Can't download the Pdf copy of PO 
PO is in approved status but we are getting below error while downloading PO pdf copies. Signature error . POs 4102517705 & 4102517711  - PO reference .

Resolution or Suggested steps: The digital signatures were missing so we have raised ticket GERITM44333239 to upload signatures and now users were able to get copies.
 
Closing the ticket as confirmed by user (attach evidence - confirmation mail from user or screen shot from the chat)

Please share your feedback on ticket closure using the link - https://app.sc.ge.com/surveys/create/569816"
[NSCI] - PO Report ,"Issue/Request: PO spend repott
Solution: Suggested user to user ZMMPDLI to get the required report.

Closing the ticket as user confirmed, attached closure confirmation
"
