Number,Opened,Short description,Assignment group,Created Month,Functional Area,IAC affected,OneERP Country / Entities Impacted
INC0262468,28-08-2024 15:40,SAP CN Billing Block,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Service Entities
INC0260357,06-08-2024 19:56,W5 - NL01 - Bank details mismatch,L2 - OneERP - Business Support,Aug-24,Record to Report,,Netherlands
INC0262367,27-08-2024 14:13,"W2 ANZ OneERP - New GL 11001900 set up in wrong currency, needs to be AUD",L2 - OneERP - Business Support,Aug-24,Record to Report,,Australia
INC0262385,27-08-2024 17:20,Reprint of SAP Customer Credit Note,L2 - OneERP - Business Support,Aug-24,Order to Cash,,South Africa
INC0262469,28-08-2024 15:42,ERP SAP - aligment Rezzayo stock code on SAP,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Italy
INC0260256,05-08-2024 23:46,Sweden - Sales account not matching with SAP vs FND,L2 - OneERP - Business Support,Aug-24,Record to Report,,Sweden
INC0260509,07-08-2024 17:37,Change cost centre owner,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Netherlands
INC0260652,08-08-2024 17:35,"ERP - SAP Reported Inventory Balance To CH06 ""MEA GMBH""",L2 - OneERP - Business Support,Aug-24,Record to Report,,Saudi Arabia
INC0261121,12-08-2024 16:29,W5 OneERP Brazil - Purchase Order Goods Receipt failure because of problem with G/L account number. See attached email,L2 - OneERP - Business Support,Aug-24,Record to Report,,Brazil
INC0260590,08-08-2024 02:51,Wave 5 - Brazil - Problem to issue outgoing Nota fiscal - OTC,L2 - OneERP - Business Support,Aug-24,"Supply Chain, Order to Cash",,Brazil
INC0260502,07-08-2024 17:13,One ERP Wave5 Hypercare - NL & IE. Prior Year balances for Ireland and Netherlands not uploaded,L2 - OneERP - Business Support,Aug-24,Record to Report,,Netherlands
INC0260529,07-08-2024 19:55,Denmark_E&Y LLP Invoice Error,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Denmark
INC0259874,01-08-2024 21:30,W5 - Brazil - Cadastro NCM (Missing NCM Registration),L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Brazil
INC0260500,07-08-2024 17:02,"One ERP Wave 5 Hypercare - BE. NAV GL code migrated to wrong SAP GL, meaning errors in Foundation COGS/stock write offs",L2 - OneERP - Business Support,Aug-24,Record to Report,,Belgium
INC0262113,23-08-2024 15:10,"SAP, MEA, NWA, FR9C plant: link material document and delivery",L2 - OneERP - Business Support,Aug-24,Supply Chain,,Multiple
INC0260236,05-08-2024 21:38,SAP link is not working.,L2 - OneERP - Business Support,Aug-24,Technical,,Germany
INC0259888,01-08-2024 22:14,"kindly Provide Esker access for BE01, NL01 and FI01",L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Multiple
INC0260483,07-08-2024 15:29,1. Expired Volumes Missing 2. Sales Weith Negative Volume. - Norway 101006-NO01,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Norway
INC0259983,02-08-2024 17:35,ENABLE TO CHANGE DATE FOR PRICE CONDITION IN SAP,L2 - OneERP - Business Support,Aug-24,Supply Chain,,France
INC0260218,05-08-2024 19:38,R2R Assistance to reclassify CX discounts,L2 - OneERP - Business Support,Aug-24,Record to Report,,South Africa
INC0261920,21-08-2024 15:23,OneERP wave 5 Hypercare – SA,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Service Entities
INC0260247,05-08-2024 22:57,OneERP - Hypercare - S/4 HANA - O2C - NL - House bank difference,L2 - OneERP - Business Support,Aug-24,Record to Report,,Netherlands
INC0262560,29-08-2024 15:53,SAP Team,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Service Entities
INC0260693,08-08-2024 23:01,W5 OneERP Brazil - Change status of failed SHPCON iDocs from status 51 to status 68 NO FURTHER PROCESSING,L2 - OneERP - Business Support,Aug-24,Order to Cash,,Brazil
INC0261394,14-08-2024 19:36,Japan SAP : Amend Order Quantity - PO#4500009731,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Japan
INC0259821,01-08-2024 15:36,Intentory,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Italy
INC0261998,22-08-2024 15:31,OneERP wave 5 Hypercare – SA (EURO invoice),L2 - OneERP - Business Support,Aug-24,Order to Cash,,Saudi Arabia
INC0261324,13-08-2024 22:02,ONE ERP - Revaluation For CH06 & CH09,L2 - OneERP - Business Support,Aug-24,Record to Report,,UAE
INC0260782,09-08-2024 17:30,Batch expiry date missing for Brazil stock line in SAP - Please assign to Mahesh Kalane or Tim Harris,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Brazil
INC0261906,21-08-2024 11:22,OneERP wave 5 Hypercare – AE,L2 - OneERP - Business Support,Aug-24,Supply Chain,,South Africa
INC0260254,05-08-2024 23:39,COGS is not matching with SAP TB - NO01 101006,L2 - OneERP - Business Support,Aug-24,Record to Report,,Norway
INC0262073,22-08-2024 23:34,IDoc Error IDOC: 0000000000801141,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Brazil
INC0262160,23-08-2024 21:26,WAVE 5 One ERP - CH06 -Mundipharma Pharmaceuticals Ltd  (10011065) Tax Issue,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Multiple
INC0260631,08-08-2024 15:06,"Hi, we have a problem with an order and we dont know which is the problem, the details in the attacment. Movianto said they have pending this order and it is not by credit limits.",L2 - OneERP - Business Support,Aug-24,Order to Cash,,Spain
INC0261314,13-08-2024 20:25,Sales orders need to be cancelled,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Austria
INC0262481,28-08-2024 17:20,While parking the journal getting the error message,L2 - OneERP - Business Support,Aug-24,Record to Report,,Denmark
INC0261413,14-08-2024 22:33,Please open P06 and can't able post journal in some GL account in Netherlands- SAP,L2 - OneERP - Business Support,Aug-24,Record to Report,,Netherlands
INC0262000,22-08-2024 15:45,ERP SAP - ISSUE WITH MATERIAL 2000003248,L2 - OneERP - Business Support,Aug-24,Order to Cash,,Italy
INC0262651,30-08-2024 16:43,Invoice not generated / Sales orders,L2 - OneERP - Business Support,Aug-24,Order to Cash,,France
INC0261323,13-08-2024 21:47,"Hi Tim, we need to discount 720 units from Oxycontin 20 and add 864 units to Sevredol tablet 10 to match the stock salable with Movianto. Emails with the information.",L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Spain
INC0262052,22-08-2024 20:52,ONE ERP - Need to cancel material doc 5000022981 as it has the wrong profit centre,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Saudi Arabia
INC0262410,27-08-2024 22:58,OneERP - HYpercare (Norway) - The approver can't view the request,L2 - OneERP - Business Support,Aug-24,Supply Chain,,Service Entities
INC0260557,07-08-2024 21:49,SAP-Journal issue on Inventory,L2 - OneERP - Business Support,Aug-24,Record to Report,,Norway
INC0262389,27-08-2024 17:52,GL 12100000 in DE02 cannot be directly posted,L2 - OneERP - Business Support,Aug-24,"Procure to Pay, Order to Cash",,Germany
INC0260426,07-08-2024 02:23,Unable post journal in SAP  BE,L2 - OneERP - Business Support,Aug-24,Record to Report,,Belgium
INC0261354,14-08-2024 13:10,OneERP wave 5 Hypercare – AE/QA,L2 - OneERP - Business Support,Aug-24,Supply Chain,,UAE
INC0260224,05-08-2024 20:34,one RP from NL. I could not find the PO number.,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,France
INC0259837,01-08-2024 16:33,ONEERP - W5 - BR01 Migrated value for Santander has been assigned to BH2 it should be HB1,L2 - OneERP - Business Support,Aug-24,Record to Report,,Brazil
INC0262038,22-08-2024 19:04,Sweden (SE01) - Facing error while posting the Journal in SAP,L2 - OneERP - Business Support,Aug-24,Record to Report,,Sweden
INC0260017,02-08-2024 21:27,W5 - NEC - Intrastat declarations do not produce output although intra-Community acquisitions from the NL were posted,L2 - OneERP - Business Support,Aug-24,Procure to Pay,,Sweden
INC0260206,05-08-2024 18:15,sap customer  to update with customer group,L2 - OneERP - Business Support,Aug-24,"Supply Chain, Order to Cash",,France
INC0257205,05-07-2024 23:59,Anaplan Phase 4 Requirement - SAP Target Field Mapping for additional reference fields + Special Stock data from SAP into consolidator Field,L2 - OneERP - Business Support,Jul-24,Technical,,Australia
INC0258570,19-07-2024 19:46,SPAIN_SHPCON IDoc Failures,L2 - OneERP - Business Support,Jul-24,Order to Cash,,Spain
INC0257167,05-07-2024 19:27,idoc 741917,L2 - OneERP - Business Support,Jul-24,Supply Chain,,France
INC0258038,15-07-2024 22:13,Items are missing form INSERT signal,L2 - OneERP - Business Support,Jul-24,Supply Chain,,Service Entities
INC0257972,15-07-2024 15:58,FAO supply chain business systems support- incorrect BARD order placement,L2 - OneERP - Business Support,Jul-24,Order to Cash,,Service Entities
INC0258989,24-07-2024 16:46,W2_ONE ERP_KR TP change request_posted PO4500006796,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0259685,31-07-2024 15:12,SAP Debot balance clearing request for JE #2200011906,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0258432,18-07-2024 18:47,ONE ERP - ESKER _ GOODS RECEIPT ISSUE,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Ireland
INC0259608,30-07-2024 21:01,OneERP wave 5 Hypercare - MNE - GL A/c error in JV upload,L2 - OneERP - Business Support,Jul-24,Record to Report,,UAE
INC0256680,02-07-2024 16:25,delete an article code in sap,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,France
INC0257310,08-07-2024 17:01,SAP stock adjustments -SALEABLE STOCK-,L2 - OneERP - Business Support,Jul-24,Order to Cash,,Spain
INC0256951,04-07-2024 09:11,How to add order qty on SAP report,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Australia
INC0259498,29-07-2024 21:20,Need help in SAP log in,L2 - OneERP - Business Support,Jul-24,Technical,,Germany
INC0256677,02-07-2024 16:02,Getting Error in SAP,L2 - OneERP - Business Support,Jul-24,Record to Report,,Service Entities
INC0259753,31-07-2024 22:54,In SAP when i'm trying to post the journals I am getting the error,L2 - OneERP - Business Support,Jul-24,Record to Report,,Denmark
INC0257163,05-07-2024 19:22,IDOC 717190,L2 - OneERP - Business Support,Jul-24,Supply Chain,,France
INC0259599,30-07-2024 19:10,"OneERP wave 5 Hypercare - IE - workflow is incorrect , it is checking AE01.Please correct.",L2 - OneERP - Business Support,Jul-24,Record to Report,,Ireland
INC0258289,17-07-2024 20:12,Define a cost element category for account 50300000 (controlling area A000),L2 - OneERP - Business Support,Jul-24,Record to Report,,Belgium
INC0259746,31-07-2024 21:42,Duplicate Sales Order Processed,L2 - OneERP - Business Support,Jul-24,Supply Chain,,South Africa
INC0258988,24-07-2024 16:44,W2_ONE ERP_KR TP change request_PO4500006791,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0259221,26-07-2024 17:49,BP role - Issue,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Canada
INC0256571,01-07-2024 18:15,Unable to reverse - 1900012113 Doc,L2 - OneERP - Business Support,Jul-24,Record to Report,,Service Entities
INC0257812,12-07-2024 16:19,ONE ERP wave2 Korea SAP Payment_Bank file is not generated.,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0257933,14-07-2024 23:17,OneERP w5 Hypercare - ZA - Missing cost element category for GL50300000,L2 - OneERP - Business Support,Jul-24,Record to Report,,South Africa
INC0258339,18-07-2024 09:30,SAP - 3PL Stock Reconciliation Report / Date Indication Error,L2 - OneERP - Business Support,Jul-24,Order to Cash,,Korea
INC0257130,05-07-2024 14:42,"ES SAP - Due to an error, I selected the wrong profit centre in the bank statement which I cannot change and which prevents me from posting.",L2 - OneERP - Business Support,Jul-24,Record to Report,,Spain
INC0259572,30-07-2024 16:17,SAP - SE01 Journal posting blocking error for Migration entry,L2 - OneERP - Business Support,Jul-24,Record to Report,,Sweden
INC0259714,31-07-2024 18:00,OneERP: SAP Account 41000000 Credit Note Units,L2 - OneERP - Business Support,Jul-24,Order to Cash,,Korea
INC0258963,24-07-2024 14:42,W2_ONE ERP_KR TP change in SAP for the PO4500009243,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0259222,26-07-2024 17:56,"OneERP wave 5 Hypercare-CH06-Unable to post the JE, Please find the error message.",L2 - OneERP - Business Support,Jul-24,Record to Report,,UAE
INC0256754,02-07-2024 21:57,"Unable to access SAP app ""Change Purchase Order""",L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Australia
INC0259246,26-07-2024 21:24,Unable to log in to One ERP for user RPA11,L2 - OneERP - Business Support,Jul-24,"Record to Report, Procure to Pay, Order to Cash",,UAE
INC0259490,29-07-2024 20:43,OneERP wave 5 Hypercare - IE - Journals are posted without approvals - Commercial Entities,L2 - OneERP - Business Support,Jul-24,Record to Report,,Ireland
INC0259573,30-07-2024 16:36,"Hi Tim can you please change this price of PT01 of this material and Batch for info record? Material  2000000108- Price correct : 13, 08 €",L2 - OneERP - Business Support,Jul-24,Supply Chain,,Portugal
INC0259731,31-07-2024 19:50,In SAP while posting journal wrongly mis updated the currency instead of DKK mentioned has EUR.,L2 - OneERP - Business Support,Jul-24,Record to Report,,Denmark
INC0256733,02-07-2024 20:12,ERP - SAP - incorrect bank account matching in SAP when generating foreign supplier payments,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Italy
INC0257284,08-07-2024 14:38,ONE ERP: Plese stop the automatic sending for remittance advice for Italy,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Italy
INC0258403,18-07-2024 17:24,"Shipping, Warehousing, Distribution & Freight in Local PL in FND",L2 - OneERP - Business Support,Jul-24,Record to Report,,Japan
INC0258964,24-07-2024 14:44,W2_ONE ERP_KR TP change for the PO4500009245,L2 - OneERP - Business Support,Jul-24,Procure to Pay,,Korea
INC0257419,09-07-2024 16:21,Trying to adjust stock via MI07. System error message: G/L account 52001000 blocked for posting in company code IT01,L2 - OneERP - Business Support,Jul-24,Record to Report,,Italy
INC0257164,05-07-2024 19:25,idoc 745209,L2 - OneERP - Business Support,Jul-24,Supply Chain,,France
INC0258129,16-07-2024 17:55,Unable to release held order in oracle,L2 - OneERP - Business Support,Jul-24,Supply Chain,,Germany
INC0254011,04-06-2024 23:00,delegation for PO subcontracting approvals and changes to the register,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Italy
INC0255464,19-06-2024 16:43,Master data request_Korea new employee Bank details request in SAP,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Korea
INC0255398,19-06-2024 01:59,Wave 2 - Canada - SAP - Daily Reconciliation report from SAP shows a discrepancy  not related to 3PL operations.,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Canada
INC0254077,05-06-2024 12:34,Vendor creation,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Korea
INC0254295,06-06-2024 22:16,SPAIN SAP - Due to an error I have posted a line from a bank statement with the wrong profit centre.,L2 - OneERP - Business Support,Jun-24,Order to Cash,,Spain
INC0255469,19-06-2024 17:43,issue with concur du to workday id,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,France
INC0256075,26-06-2024 03:01,I did ERP assigned training but the status is not changed to completed,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Service Entities
INC0254646,11-06-2024 21:30,MMCO payment run error for payment method T INC0252887 wave 3,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Multiple
INC0255893,24-06-2024 18:13,I need to create a PO from PT01 of MBL and I cannot created because I have diffferent price in MBL pd the material 2000000097. Can you change the price as we have in MDC?,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Portugal
INC0254142,05-06-2024 21:05,"Goods receipted under wrong PO number, needs to be changed to new PO number",L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Austria
INC0253946,04-06-2024 16:34,W2_ONE ERP_KR PO4500006624 return,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Korea
INC0254249,06-06-2024 18:11,ERP daily stock reconciliation discrepancies,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Italy
INC0255627,20-06-2024 23:36,NL-MDC VAT Number to be stated as customer VAT number on MITS UK AR invoice (SAP S4 Hana),L2 - OneERP - Business Support,Jun-24,Record to Report,,Service Entities
INC0254890,13-06-2024 16:44,"In PT01 we cannot do the local PO because in the PIR is not updated to the correct price we have in MMR, please can you update the PIR price with the list we have sent in the email?",L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Portugal
INC0254397,07-06-2024 22:44,blocked invoice,L2 - OneERP - Business Support,Jun-24,Supply Chain,,France
INC0254399,07-06-2024 23:03,order PH1088923 in COM status,L2 - OneERP - Business Support,Jun-24,Supply Chain,,France
INC0254935,13-06-2024 22:45,ERP - SAP - inserting supplier iban - supplier name  IMPRONTA ACTION SRL - code 10034568,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Italy
INC0255193,17-06-2024 14:59,ONE ERP: Sales Volume - Flexible Analysis report vs Customers,L2 - OneERP - Business Support,Jun-24,Order to Cash,,Italy
INC0255345,18-06-2024 18:08,regarding idoc : 695304,L2 - OneERP - Business Support,Jun-24,Supply Chain,,France
INC0254931,13-06-2024 22:11,Journal approval access,L2 - OneERP - Business Support,Jun-24,Record to Report,,Canada
INC0254464,10-06-2024 09:43,W2_ONE ERP_TP change request_posted PO4500008535,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Korea
INC0254182,06-06-2024 00:00,SAP - NO EMPLOYEE IBAN - PAYMENT CANNOT BE MADE,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Italy
INC0255707,21-06-2024 17:15,ONE ERP W4 ITALY - WRONG PRICE ON PO 450009745 - 4500011094,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Italy
INC0255353,18-06-2024 19:10,automatic posting in GL 399120000,L2 - OneERP - Business Support,Jun-24,Supply Chain,,France
INC0254680,11-06-2024 23:43,Missing PO´s,L2 - OneERP - Business Support,Jun-24,Supply Chain,,Service Entities
INC0254876,13-06-2024 15:04,Direct debit issues with customers (10034615 & 10032656),L2 - OneERP - Business Support,Jun-24,Order to Cash,,Germany
INC0255312,18-06-2024 14:09,1. It is necessary to restore the quantity increased in stock due to the input error during the inventory movement operation. 2. It is impossible to move due to an error in the inventory movement manu,L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Korea
INC0253991,04-06-2024 20:53,ONE ERP: Customer settings URGENT,L2 - OneERP - Business Support,Jun-24,"Order to Cash, Supply Chain",,Italy
INC0254366,07-06-2024 18:41,"Kevin Chow left business and SAP PO approver needs to be adjusted to alternative , (Behl, Sumeet (External) Sumeet.Behl.external@mundipharma.com),",L2 - OneERP - Business Support,Jun-24,Procure to Pay,,Australia
INC0252600,17-05-2024 18:38,ERP SAP error with hospital order,L2 - OneERP - Business Support,May-24,Supply Chain,,Italy
INC0253045,22-05-2024 21:10,Wave 3- one ERP - please set up commodity codes,L2 - OneERP - Business Support,May-24,Supply Chain,,Germany
INC0252630,17-05-2024 23:54,Change Procurement Approvers in Esker,L2 - OneERP - Business Support,May-24,"Order to Cash, Procure to Pay",,Multiple
INC0252999,22-05-2024 15:39,Can not apply to MDG due to Bank account,L2 - OneERP - Business Support,May-24,Order to Cash,,Japan
INC0253715,31-05-2024 21:00,ES SAP - We have created new customer which need the maintenance of conditions records.,L2 - OneERP - Business Support,May-24,"Supply Chain, Order to Cash",,Spain
INC0253125,23-05-2024 19:26,We are not able to  open Tagetik excel,L2 - OneERP - Business Support,May-24,Technical,,Service Entities
INC0253620,30-05-2024 21:31,unable to access SAP,L2 - OneERP - Business Support,May-24,Technical,,Canada
INC0252626,17-05-2024 22:38,Stock file generated from SAP from Germany missing available stock - F/O Mahesh Kalane or Tim Harris,L2 - OneERP - Business Support,May-24,Procure to Pay,,Germany
INC0253285,27-05-2024 13:35,W2_ONE ERP_KR PO TP change request_PO4500006623,L2 - OneERP - Business Support,May-24,Supply Chain,,Korea
INC0253687,31-05-2024 16:18,"Add branch name to MDG, Please asign this to Danny Ziannis.",L2 - OneERP - Business Support,May-24,Procure to Pay,,Japan
INC0251896,10-05-2024 19:17,ERP - GENERATION OF FILES FOR AUTOMATIC PAYMENTS OF FOREIGN INVOICES INTERCOMPANY - CREATION OF THE PROPOSAL,L2 - OneERP - Business Support,May-24,Order to Cash,,Italy
INC0252246,14-05-2024 22:19,SAP: Action required // today's orders do not generate delivery,L2 - OneERP - Business Support,May-24,Supply Chain,,Spain
INC0252881,21-05-2024 16:33,SAP error message,L2 - OneERP - Business Support,May-24,Technical,,Service Entities
INC0252759,20-05-2024 19:51,"I have checked inventory of Spain and I have several discrepancies in salable stock between SAP and Movianto files, I have discrepancies too in destruction 1015 storage location.",L2 - OneERP - Business Support,May-24,Supply Chain,,Spain
INC0252235,14-05-2024 21:02,SAP,L2 - OneERP - Business Support,May-24,Order to Cash,,Italy
INC0252028,13-05-2024 16:08,One ERP - W3 | PZN number switch in material substitution table,L2 - OneERP - Business Support,May-24,Supply Chain,,Germany
INC0252615,17-05-2024 20:15,One ERP - Wave 3 - please reverse 4900189454,L2 - OneERP - Business Support,May-24,Supply Chain,,Germany
INC0253286,27-05-2024 13:39,W2_ONE ERP_KR PO TP change request_KR PO4500006621,L2 - OneERP - Business Support,May-24,Supply Chain,,Korea
INC0252073,13-05-2024 21:06,W4 ERP SAP SHIP TO CREATED NOT WORKS - VILLA MARAINI CLIENT 10034745 SHIP TO 60006764,L2 - OneERP - Business Support,May-24,Supply Chain,,Italy
INC0252222,14-05-2024 19:33,SAP S/4 Production system. Company Code JP01 has scrapped some materials using Movement Type 551 posting to GL 54053000 Cost Centre JP01004. incorrect cost centre used. Need to reverse the movements.,L2 - OneERP - Business Support,May-24,"Procure to Pay, Record to Report",,Japan
INC0253283,27-05-2024 13:30,W2_ONE ERP_KR TP change request_PO4500006622,L2 - OneERP - Business Support,May-24,Supply Chain,,Korea
INC0251409,06-05-2024 15:59,PO in SAP not uploaded.,L2 - OneERP - Business Support,May-24,Procure to Pay,,Spain
INC0251422,06-05-2024 21:16,ONE ERP W4 ITALY - ISSUE ON PRIFIT CENTER,L2 - OneERP - Business Support,May-24,Record to Report,,Italy
INC0252042,13-05-2024 17:12,POs in SAP not loaded,L2 - OneERP - Business Support,May-24,Supply Chain,,Spain
INC0251842,10-05-2024 12:19,Journal Entries for Japan's P4,L2 - OneERP - Business Support,May-24,Record to Report,,Japan
INC0253282,27-05-2024 13:03,W2_ONE ERP_KR TP change request_PO4500006624,L2 - OneERP - Business Support,May-24,Procure to Pay,,Korea
INC0252515,16-05-2024 22:52,BOE account is coming blank without any profit center in EBS,L2 - OneERP - Business Support,May-24,Record to Report,,Service Entities
INC0252144,14-05-2024 13:33,"Since the inventory is inconsistent, 21 inventory quantities must be deducted from the inventory adjustment manual. Please let me know how to deduct it. Please refer to the attached file.",L2 - OneERP - Business Support,May-24,Procure to Pay,,Korea
INC0253548,30-05-2024 11:03,W2_ONE ERP_KR TP CHANGE REQUEST_PO4500006623,L2 - OneERP - Business Support,May-24,Procure to Pay,,Korea
INC0251517,07-05-2024 18:32,ONE ERP - ITALY -  FAILURE TO GENERATE XML FILE FOR AUTOMATIC PAYMENTS,L2 - OneERP - Business Support,May-24,Procure to Pay,,Italy
INC0251474,07-05-2024 14:34,One ERP SAP ANZ - Amend product desc & profit center,L2 - OneERP - Business Support,May-24,Procure to Pay,,Australia
INC0252897,21-05-2024 17:32,W2_ONE ERP_URGENT_Need to check return process for local PO,L2 - OneERP - Business Support,May-24,Supply Chain,,Korea
INC0252096,13-05-2024 22:08,One ERP - W3 - please switch PZN codes in material substitution table,L2 - OneERP - Business Support,May-24,Procure to Pay,,Germany
INC0253047,22-05-2024 21:22,SAP BAU Team - Tim Harris,L2 - OneERP - Business Support,May-24,Supply Chain,,Canada
INC0251412,06-05-2024 17:03,SAE ERP issue with MS Contin 30mg stock,L2 - OneERP - Business Support,May-24,Order to Cash,,Italy
INC0268742,01-11-2024 15:24,Wave 5 - NL01 - 3PL Data load error - Netherlands,L2 - OneERP - Business Support,Nov-24,Supply Chain,,Netherlands
INC0269292,07-11-2024 15:08,W2_ONE ERP_KR_PO4500010088 is missing in 3PL site.,L2 - OneERP - Business Support,Nov-24,,,
INC0269159,06-11-2024 03:06,Wave 5 - Brazil - Tax Code issue with GL accounts,L2 - OneERP - Business Support,Nov-24,Record to Report,,Brazil
INC0269239,06-11-2024 23:04,SAP: price setting for customer 10034260,L2 - OneERP - Business Support,Nov-24,,,
INC0269323,07-11-2024 18:56,URGENT POSTING P10,L2 - OneERP - Business Support,Nov-24,,,
INC0269281,07-11-2024 10:41,Delivery number connection,L2 - OneERP - Business Support,Nov-24,,,
INC0269286,07-11-2024 13:36,Wave 5 -Belgium- 3PL data load error,L2 - OneERP - Business Support,Nov-24,,,
INC0269295,07-11-2024 15:13,Wave 5 -Denmark- 3PL data load error,L2 - OneERP - Business Support,Nov-24,,,
INC0269289,07-11-2024 13:43,"This product is a new product, and sample order has not been processed to see if there is a problem with the product setting. Please set it up so that I can process the order and let me know the manua",L2 - OneERP - Business Support,Nov-24,,,
